,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7
0,['C2'],"['D9', 'D11', 'F1', 'F7']",,,,,
1,"['C6', 'E4', 'E10', 'F3', 'F5', 'F7']","['A4', 'A7', 'B5', 'C6']","['A1', 'B8', 'F6', 'G4']","['D4', 'E8', 'F6', 'F9']",,,
2,"['B3', 'D5', 'D11', 'E2', 'E8', 'F7', 'F9']","['A5', 'A9', 'B2', 'B6', 'B7', 'C2', 'C7', 'C9', 'D1', 'D4', 'D9', 'E4', 'E7', 'F1', 'F5', 'F8', 'G1', 'G5']",,,,,
3,"['C2', 'C8', 'D5', 'D7', 'E2', 'E6']",['D3'],"['B2', 'B5', 'D4', 'G1']","['A4', 'C3', 'C6', 'G7']","['B2', 'B5', 'B8', 'E8']",,
4,"['B5', 'C2', 'C8', 'D1', 'D11', 'E4', 'F1', 'F3', 'F5', 'F7', 'G2']","['A1', 'B2', 'B5', 'C6', 'C9', 'D1', 'D4', 'D7', 'G4']",,,,,
5,"['A1', 'A4', 'B2', 'B5', 'B8', 'C3', 'C6', 'C9', 'D1', 'E2', 'E8', 'F6', 'F9']","['B4', 'B6', 'C8', 'D4', 'D5', 'D6', 'F4']",,,,,
6,"['B5', 'C2', 'C4', 'C6', 'D1', 'D5', 'D7', 'D11', 'E4', 'E10', 'E12', 'F1', 'F3', 'F5', 'F7', 'F9', 'G2', 'G4']","['B4', 'C2', 'C8', 'D4', 'E2', 'E8', 'F6']",,,,,
7,"['C6', 'C9', 'D1', 'E2']","['A1', 'B2', 'E5', 'G7']","['A4', 'B2', 'C3', 'C4', 'D2', 'D5', 'D6', 'D7', 'F2', 'F6', 'G2']",,,,
8,"['A1', 'A7', 'B2', 'B5', 'B8', 'E2', 'E8', 'F3', 'F9', 'G7']","['A1', 'A4', 'C3', 'C6', 'C9', 'E8', 'F6', 'F9', 'G1', 'G7']",,,,,
9,['A7'],['C3'],['B4'],,,,
10,"['C6', 'D1', 'D9', 'E6', 'E8', 'F5', 'F7']",['C3'],"['A7', 'D4', 'E2', 'E5', 'F6', 'G4']","['B2', 'C9', 'D1', 'E8', 'G1', 'G4']",,,
11,"['B1', 'B3', 'B5', 'C2', 'C4', 'C6', 'C8', 'D1', 'D3', 'D5', 'D7', 'D9', 'D11', 'E2', 'E4', 'E6', 'E8', 'E10', 'E12', 'F1', 'F3', 'F5', 'F7', 'G2', 'G4']",['83015'],,,,,
12,"['B3', 'C2', 'C4', 'D5', 'D11', 'F3', 'F5']",['A7'],"['A7', 'B5', 'C3', 'D7', 'F3', 'F6']","['A1', 'B2', 'C9', 'D1', 'F6', 'G7']",,,
13,"['B1', 'C2', 'C6', 'C8', 'D5', 'D9', 'D11', 'E6', 'E12', 'G2', 'G4']","['A1', 'A7', 'B5', 'C3', 'D1', 'E5', 'F6', 'F9', 'G7']",,,,,
